Name,Intervals,Culture,Continent,Tuning,Reference,Theory,RefID,Country
Khafi,2122212,Northern India,South Asia,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2109",Y,1,None
Asavari,2122122,Northern India,South Asia,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2110",Y,1,None
Bhairavi,1222122,Northern India,South Asia,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2111",Y,1,None
Purvi,1321131,Northern India,South Asia,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2112",Y,1,None
Todi,1231131,Northern India,South Asia,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2113",Y,1,None
Bhairav,1312131,Northern India,South Asia,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2114",Y,1,None
Marwa,1321221,Northern India,South Asia,12-tet;Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2115",Y,1,None
Mela Kanakangi,1132113,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2116",Y,1,None
Mela Ratnangi,1132122,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2117",Y,1,None
Mela Ganamurti,1132131,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2118",Y,1,None
Mela Vanaspati,1132212,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2119",Y,1,None
Mela Manavati,1132221,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2120",Y,1,None
Mela Tanarupi,1132311,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2121",Y,1,None
Mela Senavati,1222113,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2122",Y,1,None
Mela Hanumatodi,1222122,Carnatic,South Asia,Just,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2123",Y,1,None
