Name,Culture,Continent,Country,Theory,Reference,scale_0,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,int_0,int_1,int_2,int_3,int_4,int_5,int_6,int_7,int_8
Kumoi Joshi,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2092",90,498,702,792,1200,,,,,90,408,204,90,408,,,,
Iwato,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2093",100,500,600,1000,1200,,,,,100,400,100,400,200,,,,
Iwato,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2093",90,498,612,996,1200,,,,,90,408,114,384,204,,,,
Kokin Joshi,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2094",200,500,700,800,1200,,,,,200,300,200,100,400,,,,
Kokin Joshi,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2094",204,498,702,792,1200,,,,,204,294,204,90,408,,,,
Akebono,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2095",200,300,700,900,1200,,,,,200,100,400,200,300,,,,
Akebono,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2095",204,294,702,905,1200,,,,,204,90,408,203,295,,,,
Han Iwato,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2096",100,500,700,1000,1200,,,,,100,400,200,300,200,,,,
Han Iwato,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2096",90,498,702,996,1200,,,,,90,408,204,294,204,,,,
Ryukan,Okinawan,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2097",400,500,700,1100,1200,,,,,400,100,200,400,100,,,,
Ryukan,Okinawan,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2097",408,498,702,1110,1200,,,,,408,90,204,408,90,,,,
Yosenpo Rising,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2098",200,500,700,1000,1200,,,,,200,300,200,300,200,,,,
Yosenpo Rising,Japanese,East Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2098",204,498,702,996,1200,,,,,204,294,204,294,204,,,,
Silaba,Kora,Africa,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2102",204,386,498,702,884,1088,1200,,,204,182,112,204,182,204,112,,
Tomora Mesengo,Kora,Africa,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2103",204,316,498,702,884,1018,1200,,,204,112,182,204,182,133,182,,
Sauta,Kora,Africa,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2104",204,386,590,702,884,1088,1200,,,204,182,204,112,182,204,112,,
Bilawal,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2106",200,400,500,700,900,1100,1200,,,200,200,100,200,200,200,100,,
Bilawal,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2106",204,386,498,702,884,1088,1200,,,204,182,112,204,182,204,112,,
Kalyan,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2107",200,400,600,700,900,1100,1200,,,200,200,200,100,200,200,100,,
Kalyan,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2107",204,386,590,702,884,1088,1200,,,204,182,204,112,182,204,112,,
Khamaj,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2108",200,400,500,700,900,1000,1200,,,200,200,100,200,200,100,200,,
Khamaj,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2108",204,386,498,702,884,1018,1200,,,204,182,112,204,182,133,182,,
Khafi,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2109",200,300,500,700,900,1000,1200,,,200,100,200,200,200,100,200,,
Khafi,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2109",204,316,498,702,884,1018,1200,,,204,112,182,204,182,133,182,,
Asavari,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2110",200,300,500,700,800,1000,1200,,,200,100,200,200,100,200,200,,
Asavari,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2110",204,316,498,702,814,1018,1200,,,204,112,182,204,112,204,182,,
Bhairavi,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2111",100,300,500,700,800,1000,1200,,,100,200,200,200,100,200,200,,
Bhairavi,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2111",112,316,498,702,814,1018,1200,,,112,204,182,204,112,204,182,,
Purvi,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2112",100,400,600,700,800,1100,1200,,,100,300,200,100,100,300,100,,
Purvi,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2112",112,386,590,702,814,1088,1200,,,112,275,204,112,112,275,112,,
Todi,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2113",100,300,600,700,800,1100,1200,,,100,200,300,100,100,300,100,,
Todi,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2113",112,316,590,702,814,1088,1200,,,112,204,275,112,112,275,112,,
Bhairav,Northern India,South Asia,,Y,"Hewitt, Michael John. Musical Scales of the World. Note Tree, 2114",100,400,500,700,800,1100,1200,,,100,300,100,200,100,300,100,,
